date,win_team,lose_team,win_score,lose_score,location,date_comments,overtime,cross_region,win_id,lose_id
2009-08-21,Adair County,Taylor County,21,6,0,NaN,0,0,74,104
2009-08-21,Allen County-Scottsville,Butler County,41,15,0,NaN,0,0,110,77
2009-08-21,Anderson County,Garrard County,47,10,0,NaN,0,0,146,85
2009-08-21,Apollo,Muhlenberg County,33,12,0,NaN,0,0,184,207
2009-08-21,Ashland Blazer,Greenup County,51,7,1,NaN,0,0,147,124
2009-08-21,Ballard,Pleasure Ridge Park,48,21,0,NaN,0,0,185,211
2009-08-21,Berea,Clinton County,28,20,0,NaN,0,0,5,12
2009-08-21,Bethlehem,Fort Knox,50,0,0,NaN,0,0,6,50
2009-08-21,Bishop Brossart,Betsy Layne,22,19,0,NaN,0,0,8,7
2009-08-21,Boyle County,Johnson Central,49,7,1,NaN,0,0,115,164
2009-08-21,Bryan Station,George Rogers Clark,56,24,1,NaN,0,0,187,197
2009-08-21,Caldwell County,Calloway County,34,7,1,NaN,0,0,43,118
2009-08-21,Carroll County,Bracken County,44,21,0,NaN,0,0,44,9
2009-08-21,Casey County,Caverna,36,20,1,NaN,0,0,78,11
2009-08-21,Central Hardin,Logan County,44,18,0,NaN,0,0,190,132
2009-08-21,Clay County,Lynn Camp,48,0,2,NaN,0,0,152,28
2009-08-21,Conner,Oldham County,23,14,2,NaN,0,0,191,172
2009-08-21,DeSales,Western,27,18,0,NaN,0,0,48,145
2009-08-21,Dixie Heights,Newport Central Catholic,19,7,1,NaN,0,0,154,65
2009-08-21,Edmonson County,Breckinridge County,31,6,0,NaN,0,0,81,116
2009-08-21,Fairdale,Iroquois,61,12,0,NaN,0,0,121,161
2009-08-21,Fairview,West Carter,13,7,1,NaN,0,0,16,108
2009-08-21,Franklin-Simpson,Russellville,28,27,1,NaN,0,0,123,99
2009-08-21,Grayson County,Hancock County,54,15,0,NaN,0,0,157,53
2009-08-21,Green County,Middlesboro,28,7,2,NaN,0,0,52,60
2009-08-21,Hart County,Todd County Central,43,14,1,NaN,0,0,86,71
2009-08-21,Heath,Webster County,25,0,0,NaN,0,0,54,107
2009-08-21,Henry County,Pike County Central,20,6,1,NaN,0,0,87,96
2009-08-21,Highlands,DuPont Manual,19,8,0,NaN,0,0,159,194
2009-08-21,Holy Cross (Covington),Bellevue,36,20,1,NaN,0,0,55,4
2009-08-21,Hopkinsville,Paducah Tilghman,17,14,0,NaN,0,0,160,95
2009-08-21,Kentucky Country Day,Paris,21,14,0,NaN,0,0,25,32
2009-08-21,Lafayette,Tates Creek,34,19,0,NaN,0,0,202,219
2009-08-21,Lawrence County,Paintsville,54,20,0,NaN,0,0,130,31
2009-08-21,Letcher County Central,South Laurel,34,6,1,NaN,0,0,165,177
2009-08-21,Lexington Catholic,Whitley County,43,33,1,NaN,0,0,131,182
2009-08-21,Lone Oak,Ballard Memorial,58,6,1,NaN,0,0,133,2
2009-08-21,Male,Elizabethtown,66,14,0,NaN,0,0,204,82
2009-08-21,Mason County,Danville,48,21,1,NaN,0,0,91,47
2009-08-21,Mayfield,Marshall County,43,14,0,NaN,0,0,29,205
2009-08-21,Monroe County,Wayne County,28,7,0,NaN,0,0,61,106
2009-08-21,Murray,Madisonville-North Hopkins,21,6,1,NaN,0,0,63,167
2009-08-21,Nicholas County,Bath County,22,17,0,NaN,0,0,30,42
2009-08-21,North Laurel,Pulaski County,36,33,1,NaN,0,0,170,175
2009-08-21,Owensboro Catholic,McLean County,42,41,0,NaN,0,0,67,92
2009-08-21,Phelps,Jenkins,44,14,1,NaN,0,0,33,24
2009-08-21,Prestonsburg,Belfry,28,21,1,NaN,0,0,68,75
2009-08-21,Rowan County,Morgan County,60,6,1,NaN,0,0,140,62
2009-08-21,Russell,East Carter,21,0,1,NaN,0,0,98,119
2009-08-21,Ryle,Covington Catholic,34,14,1,NaN,0,0,212,153
2009-08-21,Seneca,Central,44,26,0,NaN,0,0,214,79
2009-08-21,Shawnee,Washington County,18,6,1,NaN,0,0,100,73
2009-08-21,Somerset,Knox Central,24,22,2,NaN,0,0,102,128
2009-08-21,Spencer County,East Jessamine,35,34,1,NaN,0,0,103,120
2009-08-21,West Jessamine,Madison Southern,28,27,1,NaN,0,0,144,134
2009-08-22,Barren County,Metcalfe County,35,0,2,NaN,0,0,148,59
2009-08-22,Bowling Green,Christian County,22,3,2,NaN,0,0,149,151
2009-08-22,Breathitt County,Mercer County,58,24,2,NaN,0,0,76,168
2009-08-22,Bullitt East,Paul Laurence Dunbar,37,7,2,NaN,0,0,117,210
2009-08-22,Eminence,South Floyd,58,22,0,NaN,0,0,15,37
2009-08-22,Glasgow,Warren East,26,14,1,NaN,0,0,51,143
2009-08-22,Holy Cross (Louisville),Franklin County,35,7,2,NaN,0,0,23,122
2009-08-22,LaRue County,Campbellsville,30,12,0,NaN,0,0,129,10
2009-08-22,Montgomery County,Harrison County,27,26,1,NaN,0,0,169,125
2009-08-22,North Hardin,Bardstown,41,33,1,NaN,0,0,209,41
2009-08-22,North Oldham,Moore,20,19,2,NaN,0,0,94,93
2009-08-22,Raceland,Boyd County,27,26,0,NaN,0,0,36,114
2009-08-22,Southwestern,Warren Central,32,18,2,NaN,0,0,179,181
2009-08-22,Trimble County,Atherton,48,0,1,NaN,0,0,38,111
2009-08-22,Walton-Verona,Gallatin County,13,7,1,NaN,0,0,39,20
2009-08-22,Woodford County,South Oldham,27,12,0,NaN,0,0,183,178
2009-08-28,Adair County,Caverna,48,20,0,NaN,0,0,74,11
2009-08-28,Allen Central,Jenkins,60,0,1,NaN,0,0,1,24
2009-08-28,Anderson County,Meade County,43,34,1,NaN,0,0,146,206
2009-08-28,Apollo,Warren East,25,20,2,NaN,0,0,184,143
2009-08-28,Ashland Blazer,Raceland,31,0,1,NaN,0,0,147,36
2009-08-28,Belfry,Boyd County,28,14,1,NaN,0,0,75,114
2009-08-28,Bethlehem,Eminence,33,6,1,NaN,0,0,6,15
2009-08-28,Bourbon County,Estill County,41,6,0,NaN,0,0,113,83
2009-08-28,Bowling Green,Owensboro Catholic,45,6,2,NaN,0,0,149,67
2009-08-28,Bryan Station,Shelby County,38,26,2,NaN,0,0,187,215
2009-08-28,Bullitt Central,Barren County,21,7,1,NaN,0,0,150,148
2009-08-28,Bullitt East,Holy Cross (Louisville),41,14,0,NaN,0,0,117,23
2009-08-28,Butler County,Breckinridge County,49,22,1,NaN,0,0,77,116
2009-08-28,Carroll County,Gallatin County,26,14,0,NaN,0,0,44,20
2009-08-28,Central Hardin,DeSales,27,24,1,NaN,0,0,190,48
2009-08-28,Conner,Scott,40,7,0,NaN,0,0,191,176
2009-08-28,Cooper,Shawnee,49,20,1,NaN,0,0,192,100
2009-08-28,Corbin,Harlan,42,16,0,NaN,0,0,46,21
2009-08-28,Doss,North Bullitt,13,0,0,NaN,0,0,155,137
2009-08-28,East Jessamine,Lincoln County,34,12,0,NaN,0,0,120,166
2009-08-28,East Ridge,Phelps,32,14,2,NaN,0,0,80,33
2009-08-28,Elizabethtown,Spencer County,42,39,2,NaN,0,0,82,103
2009-08-28,Fairview,Bracken County,48,14,1,NaN,0,0,16,9
2009-08-28,Fern Creek,DuPont Manual,31,28,1,NaN,0,0,196,194
2009-08-28,Fleming County,Nicholas County,33,0,0,NaN,0,0,84,30
2009-08-28,Frankfort,Paris,52,0,1,NaN,0,0,17,32
2009-08-28,Garrard County,Rowan County,41,35,2,NaN,0,0,85,140
2009-08-28,Grayson County,Muhlenberg County,33,18,1,NaN,0,0,157,207
2009-08-28,Green County,Taylor County,44,16,1,NaN,0,0,52,104
2009-08-28,Greenwood,Logan County,48,6,1,NaN,0,0,199,132
2009-08-28,Hancock County,Ohio County,31,27,0,NaN,0,0,53,171
2009-08-28,Hart County,Clinton County,18,6,1,NaN,0,0,86,12
2009-08-28,Hazard,Leslie County,33,6,0,NaN,0,0,22,57
2009-08-28,Henry County,South Oldham,13,0,1,NaN,0,0,87,178
2009-08-28,Highlands,Ryle,37,14,0,NaN,0,0,159,212
2009-08-28,Hopkins County Central,Caldwell County,6,0,1,NaN,0,0,127,43
2009-08-28,Jeffersontown,North Oldham,48,13,1,NaN,0,0,162,94
2009-08-28,Kentucky Country Day,Atherton,51,14,0,NaN,0,0,25,111
2009-08-28,Knott County Central,Lewis County,40,0,1,NaN,0,0,56,89
2009-08-28,Letcher County Central,Middlesboro,20,6,1,NaN,0,0,165,60
2009-08-28,Lone Oak,Reidland,63,20,0,NaN,0,0,133,69
2009-08-28,Madisonville-North Hopkins,Webster County,47,6,1,NaN,0,0,167,107
2009-08-28,Magoffin County,South Floyd,52,22,0,NaN,0,0,90,37
2009-08-28,Male,Eastern,41,18,0,NaN,0,0,204,195
2009-08-28,Mason County,Montgomery County,35,14,1,NaN,0,0,91,169
2009-08-28,McCreary Central,Pineville,40,24,0,NaN,0,0,136,35
2009-08-28,McLean County,Todd County Central,54,15,1,NaN,0,0,92,71
2009-08-28,Monroe County,Edmonson County,29,18,0,NaN,0,0,61,81
2009-08-28,Murray,Calloway County,49,0,1,NaN,0,0,63,118
2009-08-28,Nelson County,Bardstown,56,41,1,NaN,0,0,208,41
2009-08-28,Oldham County,Waggener,39,7,0,NaN,0,0,172,180
2009-08-28,Perry County Central,Casey County,57,0,1,NaN,0,0,174,78
2009-08-28,Powell County,Jackson County,23,0,1,NaN,0,0,97,88
2009-08-28,Prestonsburg,Paintsville,49,0,1,NaN,0,0,68,31
2009-08-28,Russell County,Campbellsville,39,20,0,NaN,0,0,141,10
2009-08-28,Scott County,Clay County,38,8,1,NaN,0,0,213,152
2009-08-28,Seneca,Southern,35,10,1,NaN,0,0,214,217
2009-08-28,Sheldon Clark,Breathitt County,6,0,1,NaN,0,0,101,76
2009-08-28,Somerset,Pulaski County,18,12,1,NaN,0,0,102,175
2009-08-28,Southwestern,Harlan County,35,8,2,NaN,0,0,179,158
2009-08-28,St. Xavier,Ballard,35,6,0,NaN,0,0,218,185
2009-08-28,Tates Creek,Mercer County,41,36,1,NaN,0,0,219,168
2009-08-28,Valley,Pleasure Ridge Park,21,12,1,NaN,0,0,142,211
2009-08-28,West Carter,Bath County,28,6,0,NaN,0,0,108,42
2009-08-28,West Jessamine,Iroquois,49,0,1,NaN,0,0,144,161
2009-08-28,Whitley County,Lynn Camp,55,13,0,NaN,0,0,182,28
2009-08-29,Bell County,Marion County,26,21,0,NaN,0,0,112,135
2009-08-29,Bellevue,Newport,40,24,0,NaN,0,0,4,64
2009-08-29,Berea,Walton-Verona,28,20,2,NaN,0,0,5,39
2009-08-29,Boone County,Lafayette,31,23,2,NaN,0,0,186,202
2009-08-29,Boyle County,Rockcastle County,42,22,2,NaN,0,0,115,139
2009-08-29,Butler,Paul Laurence Dunbar,34,14,2,NaN,0,0,188,210
2009-08-29,Danville,Franklin County,22,6,1,NaN,0,0,47,122
2009-08-29,Dixie Heights,Beechwood,47,7,2,NaN,0,0,154,3
2009-08-29,Franklin-Simpson,Metcalfe County,42,6,1,NaN,0,0,123,59
2009-08-29,Grant County,Owen County,17,10,1,NaN,0,0,156,66
2009-08-29,Graves County,Trigg County,10,8,2,NaN,0,0,198,72
2009-08-29,Henry Clay,Central,34,21,2,NaN,0,0,201,79
2009-08-29,Holmes,Lloyd Memorial,41,12,1,NaN,0,0,126,58
2009-08-29,Holy Cross (Covington),Pikeville,32,14,0,NaN,0,0,55,34
2009-08-29,John Hardin,Madison Central,41,17,2,NaN,0,0,163,203
2009-08-29,Lexington Catholic,Covington Catholic,23,17,1,NaN,0,0,131,153
2009-08-29,North Hardin,LaRue County,32,6,0,NaN,0,0,209,129
2009-08-29,North Laurel,Knox Central,28,21,1,NaN,0,0,170,128
2009-08-29,Pendleton County,Dayton,39,21,2,NaN,0,0,138,14
2009-08-29,Russell,Greenup County,37,0,1,NaN,0,0,98,124
2009-08-29,Shelby Valley,Pike County Central,35,13,2,NaN,0,0,70,96
2009-08-29,Simon Kenton,Newport Central Catholic,29,8,2,NaN,0,0,216,65
2009-08-29,South Laurel,Williamsburg,32,26,2,NaN,0,0,177,40
2009-08-29,Union County,Ballard Memorial,27,12,0,NaN,0,0,105,2
2009-08-29,Warren Central,Russellville,35,6,2,NaN,0,0,181,99
2009-08-29,Woodford County,Western Hills,28,22,2,NaN,0,0,183,109
2009-09-04,Allen Central,Jackson County,34,6,0,NaN,0,0,1,88
2009-09-04,Allen County-Scottsville,McLean County,56,20,1,NaN,0,0,110,92
2009-09-04,Ashland Blazer,Belfry,22,20,0,NaN,0,0,147,75
2009-09-04,Bardstown,Bethlehem,42,20,1,NaN,0,0,41,6
2009-09-04,Bell County,Johnson Central,36,6,0,NaN,0,0,112,164
2009-09-04,Bourbon County,Casey County,49,6,0,NaN,0,0,113,78
2009-09-04,Bowling Green,Franklin-Simpson,51,9,0,NaN,0,0,149,123
2009-09-04,Bryan Station,Tates Creek,35,18,1,NaN,0,0,187,219
2009-09-04,Bullitt Central,Southern,21,14,0,NaN,0,0,150,217
2009-09-04,Butler,Eastern,35,14,0,NaN,0,0,188,195
2009-09-04,Calloway County,Trigg County,28,17,0,NaN,0,0,118,72
2009-09-04,Campbellsville,Taylor County,30,21,0,NaN,0,0,10,104
2009-09-04,Carroll County,Ludlow,36,21,1,NaN,0,0,44,27
2009-09-04,Central,Ballard,32,29,1,NaN,0,0,79,185
2009-09-04,Central Hardin,Elizabethtown,49,7,1,NaN,0,0,190,82
2009-09-04,Christian Academy-Louisville,North Oldham,28,25,0,NaN,0,0,45,94
2009-09-04,Christian County,Henderson County,47,31,0,NaN,0,0,151,200
2009-09-04,Conner,Lloyd Memorial,64,0,1,NaN,0,0,191,58
2009-09-04,Cooper,Scott,28,27,0,NaN,0,0,192,176
2009-09-04,Crittenden County,Hopkins County Central,35,6,1,NaN,0,0,13,127
2009-09-04,Daviess County,Ohio County,29,19,0,NaN,0,0,193,171
2009-09-04,DeSales,Bullitt East,45,30,2,NaN,0,0,48,117
2009-09-04,East Carter,Fairview,16,13,1,NaN,0,0,119,16
2009-09-04,Fern Creek,Seneca,56,35,1,NaN,0,0,196,214
2009-09-04,Fleming County,Raceland,19,13,1,NaN,0,0,84,36
2009-09-04,George Rogers Clark,Montgomery County,49,35,1,NaN,0,0,197,169
2009-09-04,Glasgow,Barren County,35,14,0,NaN,0,0,51,148
2009-09-04,Graves County,Muhlenberg County,28,6,1,NaN,0,0,198,207
2009-09-04,Grayson County,Breckinridge County,40,0,0,NaN,0,0,157,116
2009-09-04,Green County,Butler County,41,7,0,NaN,0,0,52,77
2009-09-04,Greenwood,Hopkinsville,20,7,2,NaN,0,0,199,160
2009-09-04,Hancock County,Fort Knox,80,39,0,NaN,0,0,53,50
2009-09-04,Harlan,Williamsburg,47,32,1,NaN,0,0,21,40
2009-09-04,Harrison County,Paris,35,14,1,NaN,0,0,125,32
2009-09-04,Heath,Ballard Memorial,43,21,1,NaN,0,0,54,2
2009-09-04,Henry Clay,Southwestern,42,7,2,NaN,0,0,201,179
2009-09-04,Henry County,Trimble County,32,12,0,NaN,0,0,87,38
2009-09-04,Highlands,Beechwood,48,20,0,NaN,0,0,159,3
2009-09-04,Holmes,Bellevue,24,8,0,NaN,0,0,126,4
2009-09-04,Holy Cross (Louisville),Moore,26,18,1,NaN,0,0,23,93
2009-09-04,Jeffersontown,Waggener,33,12,0,NaN,0,0,162,180
2009-09-04,Jenkins,South Floyd,7,0,1,NaN,0,0,24,37
2009-09-04,John Hardin,Meade County,22,17,1,NaN,0,0,163,206
2009-09-04,Kentucky Country Day,Eminence,29,18,1,NaN,0,0,25,15
2009-09-04,Knox Central,Middlesboro,41,21,0,NaN,0,0,128,60
2009-09-04,Lafayette,Mercer County,28,7,0,NaN,0,0,202,168
2009-09-04,Lawrence County,Sheldon Clark,36,30,1,NaN,0,0,130,101
2009-09-04,Leslie County,Clinton County,40,0,0,NaN,0,0,57,12
2009-09-04,Letcher County Central,Hazard,35,21,0,NaN,0,0,165,22
2009-09-04,Lewis County,Bath County,40,8,1,NaN,0,0,89,42
2009-09-04,Lexington Christian,Lynn Camp,57,14,1,NaN,0,0,26,28
2009-09-04,Lincoln County,Madison Southern,42,21,1,NaN,0,0,166,134
2009-09-04,Logan County,Webster County,56,14,1,NaN,0,0,132,107
2009-09-04,Lone Oak,Marshall County,55,0,1,NaN,0,0,133,205
2009-09-04,Madisonville-North Hopkins,Union County,38,14,1,NaN,0,0,167,105
2009-09-04,Male,Western,49,34,1,NaN,0,0,204,145
2009-09-04,Mayfield,Paducah Tilghman,21,12,0,NaN,0,0,29,95
2009-09-04,McCreary Central,Edmonson County,30,18,1,NaN,0,0,136,81
2009-09-04,Metcalfe County,Hart County,28,6,1,NaN,0,0,59,86
2009-09-04,Monroe County,Adair County,45,14,0,NaN,0,0,61,74
2009-09-04,Morgan County,Powell County,45,26,1,NaN,0,0,62,97
2009-09-04,Murray,Fulton City,82,6,0,NaN,0,0,63,18
2009-09-04,Nelson County,Marion County,31,14,0,NaN,0,0,208,135
2009-09-04,Newport,Pendleton County,35,14,1,NaN,0,0,64,138
2009-09-04,Newport Central Catholic,Madison Central,38,12,0,NaN,0,0,65,203
2009-09-04,North Bullitt,South Oldham,21,7,1,NaN,0,0,137,178
2009-09-04,North Laurel,South Laurel,7,6,1,NaN,0,0,170,177
2009-09-04,Oldham County,Fairdale,27,12,1,NaN,0,0,172,121
2009-09-04,Owen County,Gallatin County,13,7,0,NaN,0,0,66,20
2009-09-04,Owensboro,Owensboro Catholic,48,20,1,NaN,0,0,173,67
2009-09-04,Paintsville,Magoffin County,31,28,0,NaN,0,0,31,90
2009-09-04,Paul Laurence Dunbar,Woodford County,24,17,0,NaN,0,0,210,183
2009-09-04,Perry County Central,Knott County Central,57,6,0,NaN,0,0,174,56
2009-09-04,Pike County Central,Boyd County,19,9,1,NaN,0,0,96,114
2009-09-04,Pineville,Berea,33,8,0,NaN,0,0,35,5
2009-09-04,Pleasure Ridge Park,Doss,14,7,0,NaN,0,0,211,155
2009-09-04,Prestonsburg,Breathitt County,26,25,0,NaN,0,0,68,76
2009-09-04,Pulaski County,East Jessamine,35,30,1,NaN,0,0,175,120
2009-09-04,Reidland,Todd County Central,48,3,0,NaN,0,0,69,71
2009-09-04,Rockcastle County,Wayne County,34,0,0,NaN,0,0,139,106
2009-09-04,Rowan County,Estill County,63,7,1,NaN,0,0,140,83
2009-09-04,Scott County,Boone County,30,14,0,NaN,0,0,213,186
2009-09-04,Shawnee,Atherton,46,26,1,NaN,0,0,100,111
2009-09-04,Shelby County,North Hardin,42,18,1,NaN,0,0,215,209
2009-09-04,Simon Kenton,Dixie Heights,49,28,1,NaN,0,0,216,154
2009-09-04,Somerset,Russell County,40,20,0,NaN,0,0,102,141
2009-09-04,Spencer County,Frankfort,31,27,1,NaN,0,0,103,17
2009-09-04,St. Xavier,Lexington Catholic,49,6,0,NaN,0,0,218,131
2009-09-04,Trinity (Louisville),DuPont Manual,27,0,1,NaN,0,0,220,194
2009-09-04,Valley,Iroquois,57,0,0,NaN,0,0,142,161
2009-09-04,Warren Central,Apollo,21,14,0,NaN,0,0,181,184
2009-09-04,Warren East,Russellville,42,16,0,NaN,0,0,143,99
2009-09-04,West Carter,Nicholas County,26,6,1,NaN,0,0,108,30
2009-09-04,West Jessamine,Garrard County,14,13,0,NaN,0,0,144,85
2009-09-04,Western Hills,Washington County,59,26,0,NaN,0,0,109,73
2009-09-05,Bishop Brossart,Bracken County,38,0,1,NaN,0,0,8,9
2009-09-05,Boyle County,Pikeville,63,7,2,NaN,0,0,115,34
2009-09-05,Corbin,Danville,31,14,1,NaN,0,0,46,47
2009-09-05,Grant County,Walton-Verona,21,0,0,NaN,0,0,156,39
2009-09-11,Allen Central,Harlan,30,29,1,NaN,1,0,1,21
2009-09-11,Allen County-Scottsville,Glasgow,25,7,0,NaN,0,0,110,51
2009-09-11,Anderson County,Mercer County,42,21,1,NaN,0,0,146,168
2009-09-11,Ashland Blazer,Russell,28,7,0,NaN,0,0,147,98
2009-09-11,Ballard,Madison Central,37,7,1,NaN,0,0,185,203
2009-09-11,Beechwood,Holy Cross (Covington),36,35,1,NaN,1,0,3,55
2009-09-11,Belfry,Letcher County Central,24,20,0,NaN,0,0,75,165
2009-09-11,Bell County,Whitley County,34,7,0,NaN,0,0,112,182
2009-09-11,Bellevue,Scott,48,41,1,NaN,0,0,4,176
2009-09-11,Berea,Nicholas County,36,24,1,NaN,0,0,5,30
2009-09-11,Betsy Layne,Jackson County,39,38,1,NaN,0,0,7,88
2009-09-11,Bowling Green,Warren East,64,0,1,NaN,0,0,149,143
2009-09-11,Breckinridge County,Adair County,15,8,0,NaN,0,0,116,74
2009-09-11,Bryan Station,Western,21,17,1,NaN,0,0,187,145
2009-09-11,Bullitt Central,Bullitt East,20,14,0,NaN,0,0,150,117
2009-09-11,Butler,Southern,48,13,1,NaN,0,0,188,217
2009-09-11,Caldwell County,Union County,27,20,1,NaN,0,0,43,105
2009-09-11,Campbellsville,Bethlehem,20,14,0,NaN,0,0,10,6
2009-09-11,Carroll County,Kentucky Country Day,27,10,0,NaN,0,0,44,25
2009-09-11,Central Hardin,Ohio County,48,7,1,NaN,0,0,190,171
2009-09-11,Christian County,Pleasure Ridge Park,21,14,1,NaN,0,0,151,211
2009-09-11,Clay County,South Laurel,30,13,1,NaN,0,0,152,177
2009-09-11,Clinton County,Casey County,24,0,1,NaN,0,0,12,78
2009-09-11,Conner,Dixie Heights,36,20,1,NaN,0,0,191,154
2009-09-11,Corbin,North Laurel,34,8,1,NaN,0,0,46,170
2009-09-11,Covington Catholic,Campbell County,33,14,0,NaN,0,0,153,189
2009-09-11,Crittenden County,McLean County,34,12,0,NaN,0,0,13,92
2009-09-11,DeSales,Holy Cross (Louisville),47,0,2,NaN,0,0,48,23
2009-09-11,Doss,Valley,13,12,1,NaN,0,0,155,142
2009-09-11,Eastern,Oldham County,22,21,0,NaN,1,0,195,172
2009-09-11,Edmonson County,Muhlenberg County,20,13,1,NaN,0,0,81,207
2009-09-11,Estill County,Garrard County,42,41,1,NaN,0,0,83,85
2009-09-11,Fairdale,Moore,47,19,0,NaN,0,0,121,93
2009-09-11,Fairview,Boyd County,19,3,1,NaN,0,0,16,114
2009-09-11,Fern Creek,Meade County,34,21,0,NaN,0,0,196,206
2009-09-11,Fort Campbell,Fort Knox,56,0,1,NaN,0,0,49,50
2009-09-11,Franklin-Simpson,Greenwood,21,14,0,NaN,0,0,123,199
2009-09-11,Gallatin County,Atherton,27,6,0,NaN,0,0,20,111
2009-09-11,Graves County,Paducah Tilghman,26,21,1,NaN,0,0,198,95
2009-09-11,Grayson County,Todd County Central,62,0,1,NaN,0,0,157,71
2009-09-11,Greenup County,Raceland,14,13,0,NaN,0,0,124,36
2009-09-11,Hancock County,Butler County,28,20,1,NaN,0,0,53,77
2009-09-11,Harlan County,Leslie County,29,8,0,NaN,0,0,158,57
